Platform,Method,Model,Label,Runtime (s),Best Score,Resources Used,Notes,Source
Spark,Grid Search,Random Forest,joy,178.48,0.7601,"EMR, m5.xlarge x 5","numTrees=100, maxDepth=5, minInstancesPerNode=2",RF Grid Search
Spark,Grid Search,Random Forest,sadness,172.01,0.7434,"EMR, m5.xlarge x 5","numTrees=200, maxDepth=5, minInstancesPerNode=2",RF Grid Search
Spark,Grid Search,Random Forest,anger,166.29,0.7397,"EMR, m5.xlarge x 5","numTrees=100, maxDepth=5, minInstancesPerNode=1",RF Grid Search
Spark,Grid Search,Random Forest,fear,161.18,0.7373,"EMR, m5.xlarge x 5","numTrees=200, maxDepth=5, minInstancesPerNode=2",RF Grid Search
Spark,Grid Search,Random Forest,surprise,163.98,0.8072,"EMR, m5.xlarge x 5","numTrees=200, maxDepth=5, minInstancesPerNode=2",RF Grid Search
Spark,Grid Search,Random Forest,disgust,158.43,0.7464,"EMR, m5.xlarge x 5","numTrees=200, maxDepth=5, minInstancesPerNode=1",RF Grid Search
Spark,Random Search,Random Forest,joy,132.81,0.7636,"EMR, m5.xlarge x 5","numTrees=150, maxDepth=5, minInstancesPerNode=2",RF Random Search
Spark,Random Search,Random Forest,sadness,128.94,0.7468,"EMR, m5.xlarge x 5","numTrees=200, maxDepth=5, minInstancesPerNode=1",RF Random Search
Spark,Random Search,Random Forest,anger,124.07,0.7379,"EMR, m5.xlarge x 5","numTrees=150, maxDepth=5, minInstancesPerNode=2",RF Random Search
Spark,Random Search,Random Forest,fear,126.24,0.7382,"EMR, m5.xlarge x 5","numTrees=150, maxDepth=5, minInstancesPerNode=1",RF Random Search
Spark,Random Search,Random Forest,surprise,165.75,0.797,"EMR, m5.xlarge x 5","numTrees=200, maxDepth=5, minInstancesPerNode=3",RF Random Search
Spark,Random Search,Random Forest,disgust,147.1,0.9690000000000001,"EMR, m5.xlarge x 5","numTrees=200, maxDepth=10, minInstancesPerNode=3",RF Random Search
Spark,Grid Search,MLP,joy,109.61,0.7385,"EMR, m5.xlarge x 5","layers=[9, 50, 2], maxIter=100",MLP Grid Search
Spark,Grid Search,MLP,sadness,99.74,0.7381,"EMR, m5.xlarge x 5","layers=[9, 50, 2], maxIter=100",MLP Grid Search
Spark,Grid Search,MLP,anger,105.89,0.7125,"EMR, m5.xlarge x 5","layers=[9, 100, 50, 2], maxIter=100",MLP Grid Search
Spark,Grid Search,MLP,fear,104.87,0.7437,"EMR, m5.xlarge x 5","layers=[9, 100, 50, 2], maxIter=100",MLP Grid Search
Spark,Grid Search,MLP,surprise,119.32,0.8969,"EMR, m5.xlarge x 5","layers=[9, 100, 50, 2], maxIter=200",MLP Grid Search
Spark,Grid Search,MLP,disgust,105.91,0.7625,"EMR, m5.xlarge x 5","layers=[9, 100, 50, 2], maxIter=100",MLP Grid Search
Spark,Grid Search (Fast),MLP,joy,86.68,0.8087,"EMR, m5.xlarge x 5","layers=[9, 128, 64, 32, 2], maxIter=150",MLP Grid Search (Fast)
Spark,Grid Search (Fast),MLP,sadness,62.61,0.8206,"EMR, m5.xlarge x 5","layers=[9, 100, 2], maxIter=150",MLP Grid Search (Fast)
Spark,Grid Search (Fast),MLP,anger,84.1,0.7853,"EMR, m5.xlarge x 5","layers=[9, 128, 64, 32, 2], maxIter=150",MLP Grid Search (Fast)
Spark,Grid Search (Fast),MLP,fear,83.96,0.797,"EMR, m5.xlarge x 5","layers=[9, 128, 64, 32, 2], maxIter=150",MLP Grid Search (Fast)
Spark,Grid Search (Fast),MLP,surprise,81.32,0.7708,"EMR, m5.xlarge x 5","layers=[9, 128, 64, 32, 2], maxIter=150",MLP Grid Search (Fast)
Spark,Grid Search (Fast),MLP,disgust,61.26,0.8281,"EMR, m5.xlarge x 5","layers=[9, 100, 2], maxIter=150",MLP Grid Search (Fast)
Spark,Random Search (Fast),MLP,joy,63.55,0.7846,"EMR, m5.xlarge x 5","layers=[9, 32, 16, 2], stepSize=0.05, blockSize=64",MLP Random Search (Fast)
Spark,Random Search (Fast),MLP,sadness,90.61,0.7805,"EMR, m5.xlarge x 5","layers=[9, 128, 64, 2], stepSize=0.01, blockSize=64",MLP Random Search (Fast)
Spark,Random Search (Fast),MLP,anger,81.39,0.7849,"EMR, m5.xlarge x 5","layers=[9, 64, 2], stepSize=0.01, blockSize=64",MLP Random Search (Fast)
Spark,Random Search (Fast),MLP,fear,85.25,0.7916,"EMR, m5.xlarge x 5","layers=[9, 128, 64, 2], stepSize=0.05, blockSize=128",MLP Random Search (Fast)
Spark,Random Search (Fast),MLP,surprise,71.78,0.8328,"EMR, m5.xlarge x 5","layers=[9, 32, 16, 2], stepSize=0.05, blockSize=128",MLP Random Search (Fast)
Spark,Random Search (Fast),MLP,disgust,72.68,0.8357,"EMR, m5.xlarge x 5","layers=[9, 64, 2], stepSize=0.01, blockSize=64",MLP Random Search (Fast)
